"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad"
individual-de-papel-dhaka-redondo-negro-37-cm;"INDIVIDUAL DE PAPEL DHAKA REDONDO NEGRO 37 CM";"DECORACIÓN > INDIVIDUALES";;;;;;;439.39;351.51;0.10;10.00;10.00;10.00;6;MS115318;;NO;NO;"<p>&nbsp;</p>

<h2>INDIVIDUAL DE PAPEL DHAKA REDONDO NEGRO 37 CM</h2>
";;;;;SI;;;
tapon-banera-pastel-1pc;"TAPON BAÑERA PASTEL 1PC";LIMPIEZA;Color;Rosa;;;;;97.15;;0.10;10.00;10.00;10.00;2;019BA87553;;SI;NO;"<p><strong>TAPON BA&Ntilde;ERA REJILLA PASTEL 1PC</strong></p>
";;;;;SI;;;
tapon-banera-pastel-1pc;;;Color;Violeta;;;;;97.15;;0.10;10.00;10.00;10.00;7;019BA87553;;;;;;;;;;;;
tapon-banera-pastel-1pc;;;Color;Celeste;;;;;97.15;;0.10;10.00;10.00;10.00;8;019BA87553;;;;;;;;;;;;
tapon-banera-pastel-1pc;;;Color;Verde;;;;;97.15;;0.10;10.00;10.00;10.00;4;019BA87553;;;;;;;;;;;;
tapon-rejilla-1pc-colores-pastel;"TAPON REJILLA 1PC COLORES PASTEL";LIMPIEZA;Color;Rosa;;;;;97.15;;0.10;10.00;10.00;10.00;5;019BA87554;;SI;NO;"<p>TAPON REJILLA 1PC COLORES PASTEL</p>

<p>87554</p>
";;;;;SI;;;
tapon-rejilla-1pc-colores-pastel;;;Color;Violeta;;;;;97.15;;0.10;10.00;10.00;10.00;5;019BA87554;;;;;;;;;;;;
tapon-rejilla-1pc-colores-pastel;;;Color;Celeste;;;;;97.15;;0.10;10.00;10.00;10.00;8;019BA87554;;;;;;;;;;;;
tapon-rejilla-1pc-colores-pastel;;;Color;Verde;;;;;97.15;;0.10;10.00;10.00;10.00;1;019BA87554;;;;;;;;;;;;
apoyapava-color-pastel;"APOYAPAVA COLOR PASTEL";"HOGAR > ARTS.DE COCINA";Color;Rosa;;;;;405.89;396.26;0.10;10.00;10.00;10.00;5;019BA87560;;SI;NO;"<p>&nbsp;</p>

<p><strong>APOYAPAVA COLOR PASTEL</strong></p>
";;;;;SI;;;
apoyapava-color-pastel;;;Color;Celeste;;;;;405.89;396.26;0.10;10.00;10.00;10.00;4;019BA87560;;;;;;;;;;;;
apoyapava-color-pastel;;;Color;Violeta;;;;;405.89;396.26;0.10;10.00;10.00;10.00;5;019BA87560;;;;;;;;;;;;
apoyapava-color-pastel;;;Color;Verde;;;;;405.89;396.26;0.10;10.00;10.00;10.00;4;019BA87560;;;;;;;;;;;;
botella-de-vidrio-my-bottle-300ml;"BOTELLA DE VIDRIO MY BOTTLE 300ML";"HOGAR > BOTELLAS DE VIDRIO";;;;;;;549.28;439.42;0.10;10.00;10.00;10.00;3;MS126628;;SI;NO;"<h1 class=""alteranteFont"" style=""box-sizing: inherit; margin: 0px; padding: 0px 0px 20px; border: 0px; font-size: 26px; vertical-align: baseline; background: transparent; font-family: Oswald, sans-serif; color: rgb(88, 89, 91);""><span id=""labelDescripcion"" style=""box-sizing: inherit; margin: 0px; padding: 0px 0px 20px; border: 0px; font-weight: 700; vertical-align: baseline; background: transparent;"">BOTELLA DE VIDRIO MY BOTTLE 300ML</span></h1>
";;;;;SI;;;
mate-silver-bocon-ceramica-con-bombilla;"MATE SILVER BOCON CERAMICA CON BOMBILLA";"HOGAR > SET YERBEROS/AZUCARERAS Y MATES";;;;;;;1,091.55;873.24;0.10;10.00;10.00;10.00;0;"SC12004 MERCA SEPARADA. MARQUE CON UN 74%";;NO;NO;"<p>&nbsp;</p>

<p>MATE SILVER BOCON CERAMICA CON BOMBILLA</p>

<p>DELICADO RECUBRIMIENTO METALIZADO</p>
";;;;;SI;;;
mate-peltre-bocon-ceramica-con-bombilla;"MATE PELTRE BOCON CERAMICA CON BOMBILLA";"HOGAR > SET YERBEROS/AZUCARERAS Y MATES";;;;;;;1,026.65;821.32;0.10;10.00;10.00;10.00;2;"SC12003 MERCA SEPARADA MARQUE CON UN 74%";;SI;NO;"<p>&nbsp;</p>

<p>MATE PELTRE BOCON CERAMICA CON BOMBILLA</p>

<p><span style=""color: rgb(51, 51, 51); font-family: sans-serif, Arial, Verdana, &quot;Trebuchet MS&quot;; font-size: 13px; background-color: rgb(255, 255, 255);"">DELICADO RECUBRIMIENTO METALIZADO</span></p>
";;;;;SI;;;
mate-gold-bocon-ceramica-con-bombilla;"MATE GOLD BOCON CERAMICA CON BOMBILLA";"HOGAR > SET YERBEROS/AZUCARERAS Y MATES";;;;;;;1,026.65;821.32;0.10;10.00;10.00;10.00;2;"SC12002 MERCA SEPARADA MARQUE CON UN 74%";;SI;NO;"<p>&nbsp;</p>

<p>MATE GOLD BOCON CERAMICA CON BOMBILLA</p>

<p><span style=""color: rgb(51, 51, 51); font-family: sans-serif, Arial, Verdana, &quot;Trebuchet MS&quot;; font-size: 13px; background-color: rgb(255, 255, 255);"">DELICADO RECUBRIMIENTO METALIZADO</span></p>
";;;;;SI;;;
mate-rosa-bocon-ceramica-con-bombilla;"MATE ROSA BOCON CERAMICA CON BOMBILLA";"HOGAR > SET YERBEROS/AZUCARERAS Y MATES";;;;;;;1,672.67;1,338.14;0.10;10.00;10.00;10.00;1;"SC12001 MERCA SEPARADA MARQUE CON UN 74%";;SI;NO;"<p>&nbsp;</p>

<p>MATE ROSA BOCON CERAMICA CON BOMBILLA</p>

<p><span style=""color: rgb(51, 51, 51); font-family: sans-serif, Arial, Verdana, &quot;Trebuchet MS&quot;; font-size: 13px; background-color: rgb(255, 255, 255);"">DELICADO RECUBRIMIENTO METALIZADO</span></p>
";;;;;SI;;;
